iter	Passed	Remaining
0	11	11785
1	22	11429
2	33	11239
3	44	11083
4	54	10942
5	65	10894
6	76	10831
7	86	10786
8	97	10757
9	108	10699
10	118	10691
11	130	10727
12	140	10674
13	150	10633
14	161	10597
15	171	10523
16	181	10501
17	192	10496
18	203	10481
19	213	10468
20	224	10443
21	234	10440
22	245	10429
23	256	10422
24	266	10411
25	277	10399
26	288	10399
27	299	10380
28	309	10362
29	319	10336
30	330	10320
31	340	10309
32	351	10293
33	362	10287
34	372	10276
35	383	10267
36	394	10261
37	405	10256
38	415	10241
39	426	10231
40	437	10231
41	449	10259
42	460	10250
43	471	10239
44	481	10211
45	491	10201
46	502	10191
47	513	10186
48	524	10174
49	535	10172
50	546	10163
51	556	10147
52	567	10138
53	578	10132
54	589	10137
55	600	10123
56	611	10116
57	622	10104
58	632	10093
59	643	10083
60	654	10071
61	664	10059
62	675	10047
63	686	10040
64	697	10028
65	707	10015
66	718	10011
67	728	9991
68	737	9956
69	747	9934
70	758	9924
71	768	9909
72	779	9894
73	789	9884
74	800	9868
75	810	9849
76	820	9837
77	831	9823
78	841	9814
79	852	9803
80	862	9790
81	873	9778
82	884	9774
83	899	9803
84	914	9839
85	928	9873
86	942	9890
87	957	9918
88	969	9927
89	982	9935
90	994	9938
91	1009	9960
92	1023	9977
93	1035	9984
94	1046	9967
95	1056	9952
96	1067	9935
97	1077	9919
98	1088	9906
99	1099	9892
100	1109	9876
101	1120	9861
102	1130	9844
103	1141	9830
104	1151	9814
105	1162	9800
106	1172	9784
107	1182	9769
108	1193	9759
109	1204	9744
110	1215	9732
111	1224	9712
112	1235	9697
113	1246	9690
114	1257	9676
115	1268	9664
116	1278	9650
117	1289	9635
118	1299	9620
119	1310	9606
120	1320	9591
121	1330	9577
122	1341	9562
123	1352	9551
124	1362	9537
125	1373	9524
126	1382	9505
127	1392	9488
128	1403	9474
129	1414	9464
130	1426	9463
131	1437	9449
132	1447	9437
133	1459	9429
134	1469	9417
135	1482	9417
136	1493	9406
137	1504	9395
138	1514	9383
139	1525	9370
140	1536	9358
141	1547	9347
142	1555	9321
143	1566	9310
144	1576	9296
145	1586	9282
146	1597	9271
147	1608	9259
148	1618	9244
149	1629	9233
150	1639	9220
151	1650	9206
152	1660	9194
153	1671	9182
154	1682	9169
155	1692	9157
156	1702	9143
157	1713	9129
158	1722	9111
159	1732	9096
160	1743	9084
161	1754	9074
162	1764	9062
163	1775	9051
164	1786	9039
165	1796	9026
166	1806	9012
167	1817	9000
168	1827	8987
169	1838	8976
170	1848	8963
171	1859	8952
172	1869	8939
173	1880	8926
174	1890	8914
175	1901	8902
176	1912	8890
177	1922	8878
178	1932	8864
179	1943	8853
180	1953	8841
181	1964	8829
182	1975	8818
183	1986	8807
184	1996	8794
185	2006	8783
186	2017	8769
187	2027	8757
188	2038	8746
189	2048	8734
190	2059	8722
191	2069	8709
192	2080	8697
193	2090	8684
194	2100	8670
195	2110	8658
196	2121	8646
197	2131	8635
198	2142	8623
199	2153	8612
200	2163	8601
201	2174	8589
202	2184	8577
203	2195	8565
204	2205	8553
205	2216	8542
206	2226	8530
207	2237	8518
208	2247	8507
209	2258	8495
210	2268	8484
211	2279	8473
212	2289	8460
213	2300	8449
214	2309	8433
215	2320	8421
216	2330	8410
