iter	Passed	Remaining
0	9	977
1	18	899
2	26	853
3	35	840
4	43	825
5	50	795
6	56	756
7	64	744
8	71	724
9	79	711
10	85	694
11	93	683
12	100	669
13	107	660
14	114	648
15	121	637
16	128	629
17	135	618
18	142	605
19	148	594
20	156	588
21	163	578
22	170	569
23	176	559
24	184	552
25	192	546
26	199	539
27	207	533
28	214	525
29	221	516
30	229	510
31	236	503
32	243	493
33	250	485
34	257	478
35	264	470
36	271	462
37	278	454
38	285	446
39	290	436
40	297	428
41	304	420
42	311	412
43	318	404
44	322	394
45	329	386
46	336	379
47	343	371
48	349	363
49	358	358
50	366	351
51	373	344
52	379	336
53	385	328
54	392	321
55	399	314
56	407	307
57	414	300
58	421	292
59	428	285
60	435	278
61	443	271
62	451	265
63	458	257
64	466	251
65	474	244
66	480	236
67	487	229
68	494	222
69	502	215
70	508	207
71	515	200
72	524	193
73	532	186
74	540	180
75	547	172
76	555	165
77	562	158
78	568	151
79	576	144
80	583	136
81	591	129
82	598	122
83	606	115
84	613	108
85	621	101
86	628	93
87	636	86
88	643	79
89	650	72
90	658	65
91	665	57
92	673	50
93	680	43
94	688	36
95	695	28
96	703	21
97	711	14
98	718	7
99	726	0
